company_id,name,search_rating,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
333674,(주)코너스톤에스에이치,2.3,2.3,1.6,2.8,2.1,1.9,1.3,8%,17%,0%,코너스톤에스에이치
114568,에스에스뉴테크(주),2.5,2.5,2.5,2.1,2.4,2.0,2.1,14%,36%,0%,에스에스뉴테크
239662,방재안전기술원(주),5.0,5.0,3.0,3.0,3.0,3.0,3.0,100%,100%,0%,방재안전기술원
292144,아라연환경(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,아라연환경
87825,대한무역투자진흥공사,3.6,3.6,3.3,3.5,3.4,3.2,3.0,71%,65%,26%,진흥
193869,다우건축사사무소(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,다우건축사사무소
313008,(주)셀트리온스킨큐어,2.1,2.1,3.0,2.5,1.8,2.5,1.7,17%,23%,9%,스킨큐어
252871,제이케이물산(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제이케이물산
207788,조은가구(주),2.0,2.0,2.5,2.0,2.5,2.0,3.0,50%,50%,0%,조은가
276074,송운사(주),1.7,1.7,1.7,1.9,1.6,1.6,1.6,9%,18%,0%,송운
328179,(주)플라팜,1.9,1.9,2.0,2.7,2.0,2.4,1.6,17%,13%,17%,라팜
105201,에넥스트(주),1.6,1.6,1.6,1.8,2.0,1.6,1.8,20%,40%,0%,에넥스트
263306,자경케미칼(주),3.8,3.8,4.1,3.2,3.8,3.7,3.7,69%,83%,50%,자경
124222,대성해외관광(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대성해외관광
13720,이일화학,3.0,3.0,2.7,2.3,3.0,3.0,2.7,0%,100%,0%,이일화학
428138,(주)하늘종합건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,하늘종합건설
106569,티에프스포츠코리아(주),2.6,2.6,2.0,3.4,3.4,2.2,2.2,20%,40%,20%,티에프스포츠코리아
377686,(주)에이치에스씨엠티,2.8,2.8,2.6,2.8,2.2,3.0,2.4,20%,60%,0%,에이치에스씨
297641,성신화학(주),1.6,1.6,1.6,1.8,1.6,2.0,1.6,0%,20%,20%,성신화학
389550,(주)유스케어팜,3.6,3.6,3.6,4.4,4.2,4.2,3.4,80%,80%,60%,유스케어팜
84723,금강기업,2.5,2.5,1.5,2.5,2.0,2.5,1.5,0%,0%,0%,금강기업
261552,동대문호텔피에프브이(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동대문호텔피에프브이
